"nome","resumo","coordenador"
"DA LEITURA À PRÁTICA: PRODUÇÃO DE SUBJETIVIDADES EM ATIVIDADES VOLTADAS AOS CURSOS DE ENGENHARIA",".Partindo da leitura da seção presente na tese de doutorado cujo título é “escritor-funcionário” de marco antonio rodrigues (2015) na qual a ênfase se deu a contos da vida burocrática e a crônica “a rotina e a quimera” de carlos drummond de andrade (1984) pode-se observar a importância da leitura da fruição (feres 2016) e da produção de sentido a partir da análise da compreensão e da interpretação de gêneros textuais (bakhtin 2011; marcuschi 2010) distintos assim como da produção escrita para os profissionais que fogem à área da educação uma vez que se veem “presos” às atividades práticas de trabalho e encontram refúgio na produção de conhecimento por meio da arte do ler e do escrever. Nesse sentido o projeto de extensão intitulado “da leitura à prática: a produção de subjetividades em atividades voltadas aos cursos de engenharia” visa a aprimorar as habilidades de leitura (koch; elias 2010) da figura leitora bem como sua produção escrita a partir de conhecimentos prévios e de conhecimentos partilhados em atividades em grupo. Tendo em vista isso objetiva-se estreitar as práticas literárias gramaticais e ortográficas que se fazem presentes na vida de todo indivíduo a profissionais das engenharias e de empresas cujo ofício principal distancia-se de certo modo das quimeras do cotidiano. Todo profissional precisa ter intimidade com as normas gramaticais (azeredo 2018) vigentes na sociedade também ser formado a partir de um letramento crítico (rojo 2017) para enfrentar os obstáculos que se apresentam no dia a dia. Assim o projeto abordará processos que contribuam para que os participantes possam voltar a ter contato com uma educação que lhes parece distante a educação básica ou seja atividades vistas no período escolar que vão ficando na memória dos sujeitos (foucault 2008). Por isso seminários workshops palestras oficinas e clube de leitura serão atribuições presentes em nosso projeto. Em relação a palestras e aos seminários sobre gr","Thatiana Muylaert Siqueira Menezes"
"PROJETO DE EXTENSÃO EDITORIAL LPP/UERJ","O laboratório de políticas públicas (lpp) como instância de pesquisa análises e apoio às políticas públicas democráticas no brasil e na américa latina é um grande produtor de conteúdo acadêmico. Seus integrantes são cientistas de reconhecimento nacional e internacional e possuem uma vasta produção bibliográfica antes publicadas em outras editoras. A indagação que se fazia era se era possível realizar a edição de livros pelo próprio lpp algo que enriqueceria a relação com os técnicos docentes e principalmente os discentes que atuam no laboratório e estimular também outras parcerias tanto no âmbito da própria uerj como ocorre através do programa de pós-graduação em políticas públicas e formação humana (ppfh) e faculdade de educação (edu) quanto no âmbito externo com parcerias com a faculdade latinoamericana de ciências social (flacso) e universidade de pequim. Assim nasceu o projeto que desde 2016 vem editando publicações com um grande reconhecimento pela comunidade acadêmica interna e externa cumprindo com a missão de difundir o conhecimento que é produzido pelo próprio lpp e pela uerj.","Felipe Baptista Campanuci Queiroz"
"LABORATÓRIO DE POLÍTICAS PÚBLICAS","O laboratório de políticas públicas (lpp) desenvolve atividades de pesquisa análises e apoio às políticas públicas educação e direitos humanos além de atividades que visam refletir sobre a conjuntura atual e sobre propostas direcionadas à constituição e à reforma do estado. Suas principais atuações associam-se à discussão balanço monitoramento e formulação de estratégias governamentais que fortaleçam a constituição do espaço público como esfera de realização efetiva dos direitos dos cidadãos. O projeto articula sua atuação em eixos que passam pelo oferecimento de palestras seminários e cursos abertos à comunidade em geral (atividades de extensão universitária) que deságuam na produção de publicações acadêmicas. Essas atividades se dão em parceria com os projetos associados (projeto editorial e de análise da educação superior) parceiros internos e externos.","Floriano Jose Godinho De Oliveira"
"GRUPO ESTRATÉGICO DE ANÁLISE DA EDUCAÇÃO SUPERIOR (GEA-ES)","O projeto de extensão gea-es tem por objetivo articular gestores de instituições públicas de educação superior gestores de redes estaduais de ensino médio representantes de movimentos sociais da juventude movimento negro indígena de mulheres de periferia do campo de quilombolas entre outros além de estudantes e pesquisadores para avaliar as políticas de expansão do ensino superior e de ações afirmativas de acesso a esta modalidade educacional no brasil. O grupo estratégico de análise da educação superior – gea-es atua através de debates publicações e da manutenção de seu portal através de clippings diários sobre educação superior e um centro de documentação com arquivos nacionais e internacionais sobre o tema. Por este projeto estar localizado na universidade do estado do rio de janeiro (uerj) instituição pioneira na implementação de políticas de ações afirmativas no país o debate sobre esta temática é tomado como um eixo fundamental de reflexão e intervenção. é oferecido ao público debates que contribuam para o conhecimento das experiências de ações afirmativas seus desafios e conquistas alcançadas. Parte-se também do entendimento que articular atividades em torno da consolidação da política de ações afirmativas é algo crucial para avançar da reparação histórica no brasil e diminuir desigualdades estruturais que perduram como chagas da nossa sociedade.","Rafael Bastos Costa De Oliveira"
"""FILOSOF-ILHA."" A ESCOLA PÚBLICA APOSTA NO PENSAMENTO.","O presente projeto é a expansão de um trabalho iniciado em 2007 na cidade de duque de caxias e que no ano de 2022 desenvolveu uma série de ações junto a professores e alunos da rede municipal de são joão da barra. Desta vez buscaremos estender nossa proposta de imersão em um espaço/tempo que experimenta a filosofia como dimensão do pensamento na educação de crianças e adultos a grupos atendidos por escolas públicas de municípios geograficamente distantes da capital dada a desigualdade constitutiva dos grandes centros urbanos. Para desenvolver o trabalho partiremos da articulação de três núcleos conceituais: infância experiência e política. A infância é uma categoria da subjetividade que permite pensar os sujeitos da aprendizagem para além da cronologia (lyotard 1997) bem como os cruzamentos entre temporalidade transformação e subjetividade e seus desdobramentos nas relações de ensino e aprendizagem a partir do cuidado de si (foucault 2006). A concepção da filosofia como experiência de pensamento (kohan; leal; teixeira 2000) é uma provocação para considerar em que medida a instituição escolar pode acolher um pensar disposto a colocar em questão seus pressupostos sem pontos fixos comprometido na problematização de si e do mundo. Por fim a questão política e o ensino de filosofia como direito (derrida 1990) estão focados nas interfaces entre igualdade e emancipação (rancière 2003). Nesta proposta de expansão focaremos nossos esforços na comunidade da ilha grande em angra dos reis localizada no sul do estado do rio de janeiro onde funcionam o ceads e o ecomuseu da uerj. Trata-se de fortalecer a presença da experiência de pensar filosófico como uma relação com a realidade que nos cerca e que ajude crianças a questionar seu lugar no mundo e pensar em outros mundos possíveis. Desta maneira apostamos no aprimoramento da formação crítica de estudantes (crianças e adultos) e professores (da educação básica e da uerj) participante.","José Ricardo Pereira Santiago Junior"
"VEM PARA A UNIVERSIDADE","O projeto vem para a universidade tem como proposta sensibilizar e informar os estudantes do ensino médio da rede pública estadual sobre os mecanismos de inserção e permanência nos cursos de graduação da uerj e estimular o seu ingresso na universidades. Para tanto contamos com participação de representantes da pró-reitoria de graduação (pr1) da pró-reitoria de políticas e assistência estudantis (pr4) de técnicos e estudantes da graduação da uerj. Para cumprimento do seu objetivo o projeto está estruturado em quatro vertentes: a primeira está relacionada ao site do projeto www.Vemprauniversidade.Uerj.Br a ser permanentemente atualizado ao envio de material para a superintendência de projetos estratégicos da seeduc-rj e a realização de reuniões com a equipe de da seeduc. A segunda está voltada para visitas guiadas oferecidas a grupos de estudantes da rede pública pelos campi da uerj; a terceira vertente está voltada para a organização de ciclos de aulas programadas para acontecerem nas vésperas do vestibular da uerj; a quarta diz respeito à vinda de grupos de escolas da rede estadual através de contato com a superintendência de projetos estratégicos para a semana da uerj sem muros. Aos grupos das escolas a equipe que constitui o projeto oferecerá seminários sobre as políticas de acesso e permanência e sobre os cursos de graduação da uerj. O projeto em seu primeiro ano de existência proporcionou um aumento expressivo do número de candidatos alunos da rede isentos de pagar a taxa de inscrição no vestibular. Sabe-se hoje segundo estudos do dsea que o número de alunos ingressantes oriundos da rede também tem aumentado.","Maria Beatriz Dias Da Silva Maia Porto"
"PROGRAMA AMIGO NA UERJ: INTERNACIONALIZAÇÃO AT HOME","Este programa tem como objetivo promover o encontro de alunos estrangeiros em intercâmbio com alunos de graduação e pósgraduação da uerj no intuito de receberem melhores informações sobre a rotina urbana e mobilidade na cidade do rio de janeiro além de obterem conhecimento das rotinas destinadas aos alunos desta instituição de ensino superior com relação ao preenchimento de formulários e demais documentos pertinentes dentro dos prazos de acordo com o calendário acadêmico em vigência. Podem participar do <<programa amigo>> todos os alunos ativos e regularmente matriculados e inscritos em disciplinas na uerj. Receber registros estudantes da uerj interessados em oferecer alojamento em casa para intercambistas.","Oscar Rocha Barbosa"
"IDOSOS COLABORADORES","Através de ações de participação social o projeto é realizado desde 1996 e tem como objetivo atual promover a atividade de assessoria do serviço social no campo do envelhecimento evolvendo idosos alunos da unati/uerj servidores em processo de aposentadoria professores aposentados da universidade e assistentes sociais interessados. As “oficinas de direitos sociais” são desenvolvidas nos diferentes cursos livres oferecidos aos idosos do programa. A inserção de idosos e estudantes de serviço social nas oficinas tem possibilitado informação e reflexão sobre as ações de participação social que estimulem os idosos a lutarem pela garantia de seus direitos. Além disso a inserção de estagiários de serviço social tem possibilitado a produção de conhecimento a respeito do envelhecimento no brasil e da intervenção do serviço social na área do envelhecimento. No âmbito do ensino temos a criação de disciplinas na graduação da faculdade de serviço social da uerj que abordam a temática do envelhecimento e políticas sociais para idosos desde a criação do projeto. Ao longo destes últimos anos ampliamos a atividade de “assessoria na área do envelhecimento” para segmentos de idosos aposentados ou funcionários em situação de aposentadoria. Desde de 2009 participamos como monitora / palestrante do programa de preparação para aposentaria da uerj. Desde o ano de 2010 a convite da presidente da asduerj iniciamos o trabalho de assessoria aos docentes aposentados da universidade com o objetivo de conhecer as demandas destes segmentos e possibilitar conhecimento e reflexão sobre processo de envelhecimento e políticas para idosos no brasil. Assim sendo nosso intuito com essas parcerias é assessorar os diferentes segmentos da universidade nas questões que envolvem a saída do mercado de trabalho e a entrada na aposentadoria.","Alzira Tereza Garcia Lobato Nunes"
"EXTENSÃO E CULTURA LATINO-AMERICANA","A américa latina não tem recebido historicamente a devida relevância em relação ao seu potencial cultural. O direito à cultura identidades diversidades representatividades multicoloridades e interseccionalidades são territórios de sínteses autônomas e fecundas capazes de alcançar a soberania dos povos latino-americanos. A sociedade brasileira é formada culturalmente com predomínio em uma visão eurocêntrica branca e racista. A américa latina detém uma cultura rica diversa com várias nuances contudo o brasil em sua maioria não se integra a sua própria cultura. Na esfera política diversas são as crises dos países latino-americanos aprofundadas pela pandemia da covid-19.O que se traduz em resposta ao crescente desmatamento das florestas ao aprofundamento das desigualdades sociais entre outros aspectos. A partir da década de 90 a américa latina tornou-se palco de práticas experimentais tal qual um laboratório de políticas pós-neoliberais num contexto de injustiça social mundial o que acarretou pobreza e desigualdade cíclicas. Pensar a américa latina no ponto de vista da inovação da extensão universitária e da cultura é a única saída para a ascensão dos povos latino-americanos ao devido patamar esse é o papel das universidades públicas nesse momento da história. O reconhecimento cultural o rompimento de fronteiras a mistura das diversidades culturais e artísticas possuem a tarefa de incorporar o sentido de pertencimento da população por intermédio de ações de extensão e cultura universitária. Ao se retirar a visão eurocêntrica é dada uma oportunidade para melhor compreensão de identidades multiculturalidades interseccionalidades numa perspectiva de emancipação humana e da américa latina. A importância estratégica e fundamental constitutiva do presente projeto ganha ainda mais significado e relevância quando observamos o total abandono de práticas e culturas dos povos originários da américa latina e sua consciência ambiental.","Claudia Goncalves De Lima"
"DESENVOLVIMENTO DE NOVAS TECNOLOGIAS PARA MUSEUS","O projeto “desenvolvimento de novas tecnologias para museus” é uma inovadora e tecnológica ferramenta de aprimoramento da educação patrimonial auxiliando na transformação e formação de crianças e adolescentes na constituição de conhecimento e na apreensão cultural e de valores da vida social. O centro multimídia como responsável pela organização de todo acervo midiático do ecomuseu possui agora um de seus maiores desafios: fazer com que essas ferramentas cheguem ao seu público alvo. Tendo como objetivo contribuir para a historiografia – registro e memória – do museu em termos de patrimônio história e cultura por meio das mídias digitais cabe ao centro multimídia garantir ao cidadão o acesso à informação de modo amplo e irrestrito. Foi pensando neste público que surgiu a proposta de unir a preservação do patrimônio com estas novas tecnologias; levando até os nossos espectadores a possibilidade de interagir com estas ferramentas para facilitar o seu acesso ao conhecimento museógrafo e de nossa história propiciando a agilidade porém com fiável conteúdo que nos é exigida nesses novos tempos. Possibilitar o rápido e fácil acesso do museu ao espectador fazendo uso de uma linguagem de alta tecnologia incluindo elementos de realidade aumentada seja para o variado público externo ou até mesmo para as comunidades ilhéus que possuem difícil acesso a elementos culturais é um dos caminhos de auxílio na diminuição das diferenças sociais; é dar oportunidade de acesso ao conhecimento de forma igualitária para todos os públicos do museu. O uso de ferramentas de realidade aumentada em museus inova a forma como o público lida com o acervo a exemplo de experiência implementada no louvre em paris. Tornar a ilusão da tridimensionalidade holográfica um lugar comum no espaço museógrafo é dar ao público a oportunidade de experienciar como real situações que outrora somente existiam na imaginação.","Gelsom Rozentino De Almeida"
